graph_index,total_time
49,2813123123929.57341353529
59,27412312346.171659428812
98,27753.454711670005
20,27504.407559247644
28,27684.80814491021
89,28002.532117616498
81,27592.651206212588
72,27404.409464815028
51,26936.773805001434
90,27850.059597797223
22,27761.384639601558
82,27600.997640275462
80,27042.98453568167
31,27759.73057137151
11,28076.498308037295
0,27847.171683664514
93,28986.709784451134
15,27654.858845047125
58,28999.314119864695
77,28654.974312459854
44,28530.720262996612
53,26299.2091293742
60,27905.505644278266
68,27405.64182097502
17,27637.643663390798
6,26789.676479018537
2,29711.405202259786
26,27790.774051373286
71,27224.49780964594
96,28425.74181018175
54,28379.267476366185
91,27898.55140427617
46,28029.209497122803
61,29237.67247635644
70,27991.315995735575
21,28226.841666512166
34,28381.480841132907
29,28046.400555483666
37,29047.437709106172
30,27711.844567722004
75,26962.741641590375
32,29137.293070539174
38,28317.7748415402
84,26495.32555131535
16,27351.569766163662
3,27923.315168582507
65,28330.892378557957
95,29930.02668213202
62,29351.187512912504
64,28388.137334030398
9,27490.721461187393
45,28514.712924603067
52,28052.975657895262
36,28075.359950685168
27,28223.779402519864
23,27154.389146395646
24,26580.42579189243
56,28630.53350032479
10,28190.679571419078
66,27145.71168579154
43,29077.506228118244
69,27947.93779374856
99,26819.663266377473
13,27447.95208855087
40,28377.63761444546
86,28689.503750319876
12,28352.64404239785
87,27754.962580258347
63,27460.122096444313
79,28508.188568236215
